Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
RSUD Ibnu Sina Gresik,4.2,1807,Rhea Aja,5,2026-07-15T05:17:11.971Z,Baik smua. Perawat juga perhatian n baik..terima kasih banyk smua perawat
RSUD Ibnu Sina Gresik,4.2,1807,Fatin Khoiroh,5,2026-07-10T01:11:12.688Z,"Terimakasih Ibnu Sina diruang Dahlia pelayanan slalu menyenangkan, kebersihan terjaga"
RSUD Ibnu Sina Gresik,4.2,1807,enggar mahendra,3,2026-07-10T00:47:01.306Z,Saya rawat inap diruang dahlia suasana kalau malam sunyi tapi kalau sore ada anak² jenguk pada berlarian ngintip² pasien lain menurutku kurang sopan yaa tp pelayanannya baik kok perawatnya juga ramah²... semoga makin sukses makin berkembang
RSUD Ibnu Sina Gresik,4.2,1807,Gemilang Citra Perdana,5,2026-07-10T00:11:33.169Z,"Saat di Kantin Ibnu Sina, saya mencari kopi susu tapi ndak ada yang jual, adanya secangkir kecil Good Day Cappucino seharga 10.000."
RSUD Ibnu Sina Gresik,4.2,1807,Sri Wahyuni,5,2026-07-09T03:50:27.249Z,Terima kasih atas pelayanan ruang Dahlia atas perawatan bapak saya perawatnya baik2 makasih Ibnu sina
RSUD Ibnu Sina Gresik,4.2,1807,Siti Qomariyah,4,2026-07-07T00:47:07.221Z,Untuk kamar dahlia tempatnya nyaman dan pelayanannya bagus
RSUD Ibnu Sina Gresik,4.2,1807,Putri Handayani,5,2026-07-07T00:46:17.684Z,Saat saya di rawat di rs ibnu sina terutama di ruangan dahlia pelayanan.nya sangat bagus dokter dan perawatnya pun sangat ramah terhadap pasien .
RSUD Ibnu Sina Gresik,4.2,1807,siswowati,5,2026-07-07T00:44:47.825Z,ruang an dahlia sangat nyaman dan bersih
RSUD Ibnu Sina Gresik,4.2,1807,hendri istirsha,5,2026-07-06T09:21:39.238Z,Pelayanan rawat jalan jauh lebih baik.apalagi fasilitas sangat nyaman
RSUD Ibnu Sina Gresik,4.2,1807,Imanda Nikma,5,2026-07-06T02:59:02.575Z,Terima kasih atas perawatan suami saya diruang Dahlia perawat dan dokter ramah 2
RSUD Ibnu Sina Gresik,4.2,1807,Adira Khanza,5,2026-07-06T02:47:52.336Z,Ruang dahlia sangat bagus dan nyaman perawatnya respon baik dan sopan pokoknya topp
RSUD Ibnu Sina Gresik,4.2,1807,Gupron Pron,5,2026-07-06T02:46:46.070Z,Ruang Dahlia nyaman perawatannya bagus
